Title; Author; Year; Original_line
Наше нам; Юлия Друнина; 1975; Пусть певичка смешна и жеманна
Наше нам; Юлия Друнина; 1975; Пусть манерны у песни слова —
Наше нам; Юлия Друнина; 1975; В полуночном чаду ресторана
Наше нам; Юлия Друнина; 1975; Так блаженно плывет голова
Наше нам; Юлия Друнина; 1975; Винограда тяжелые гроздья
Наше нам; Юлия Друнина; 1975; Превратились в густое вино
Наше нам; Юлия Друнина; 1975; И теперь по артериям бродит
Наше нам; Юлия Друнина; 1975; Колобродит бунтует оно
Наше нам; Юлия Друнина; 1975; А за маленьким столиком рядом
Наше нам; Юлия Друнина; 1975; Трое бывших окопных солдат
Наше нам; Юлия Друнина; 1975; Невеселым хмелеющим взглядом
Наше нам; Юлия Друнина; 1975; На оркестр и певичку глядят
Наше нам; Юлия Друнина; 1975; Я наверное их понимаю
Наше нам; Юлия Друнина; 1975; Ветераны остались одни —
Наше нам; Юлия Друнина; 1975; В том победном ликующем мае
Наше нам; Юлия Друнина; 1975; В том проклятом июне они…
Наше нам; Юлия Друнина; 1975; А смешная певичка тем часом
Наше нам; Юлия Друнина; 1975; Продолжает шептать о весне
Наше нам; Юлия Друнина; 1975; А парнишка в потертых техасах
Наше нам; Юлия Друнина; 1975; Чуть не сверстницу видит во мне
Наше нам; Юлия Друнина; 1975; В этом спутник мой искренен вроде
Наше нам; Юлия Друнина; 1975; Лестно мне и немного смешно
Наше нам; Юлия Друнина; 1975; По артериям весело бродит
Наше нам; Юлия Друнина; 1975; Колобродит густое вино
Наше нам; Юлия Друнина; 1975; А за маленьким столиком рядом
Наше нам; Юлия Друнина; 1975; Двое бывших окопных солдат
Наше нам; Юлия Друнина; 1975; Немигающим пристальным взглядом
Наше нам; Юлия Друнина; 1975; За товарищем вставшим следят
Наше нам; Юлия Друнина; 1975; Ну а тот у застывшей певицы
Наше нам; Юлия Друнина; 1975; Отодвинул молчком микрофон
Наше нам; Юлия Друнина; 1975; И гранатой в блаженные лица
Наше нам; Юлия Друнина; 1975; Бросил песню забытую он —
Наше нам; Юлия Друнина; 1975; О кострах на снегу о шинели
Наше нам; Юлия Друнина; 1975; Да о тех кто назад не пришел…
Наше нам; Юлия Друнина; 1975; И глаза за глазами трезвели
Наше нам; Юлия Друнина; 1975; И смолкал вслед за столиком стол
Наше нам; Юлия Друнина; 1975; Замер смех и не хлопали пробки
Наше нам; Юлия Друнина; 1975; Тут оркестр очнулся и вот
Наше нам; Юлия Друнина; 1975; Поначалу чуть слышно и робко
Наше нам; Юлия Друнина; 1975; Подхватил эту песню фагот
Наше нам; Юлия Друнина; 1975; Поддержал его голос кларнета
Наше нам; Юлия Друнина; 1975; Осторожно вступил контрабас…
Наше нам; Юлия Друнина; 1975; Ах нехитрая песенка эта
Наше нам; Юлия Друнина; 1975; Почему будоражишь ты нас
Наше нам; Юлия Друнина; 1975; Почему стали строгими парни
Наше нам; Юлия Друнина; 1975; И никто уже больше не пьян
Наше нам; Юлия Друнина; 1975; Не без горечи вспомнил ударник
Наше нам; Юлия Друнина; 1975; Что ведь в сущности он — барабан
Наше нам; Юлия Друнина; 1975; Тот кто резкою дробью в атаку
Наше нам; Юлия Друнина; 1975; Поднимает залегших бойцов
Наше нам; Юлия Друнина; 1975; Ктото в зале беззвучно заплакал
Наше нам; Юлия Друнина; 1975; Закрывая салфеткой лицо
Наше нам; Юлия Друнина; 1975; И певица в ту песню вступила
Наше нам; Юлия Друнина; 1975; И уже не казалась смешной…
Наше нам; Юлия Друнина; 1975; Ах какая же всетаки сила
Наше нам; Юлия Друнина; 1975; Скрыта в тех кто испытан войной
Наше нам; Юлия Друнина; 1975; Вот мелодия вздрогнув погасла
Наше нам; Юлия Друнина; 1975; Словно чистая вспышка огня
Наше нам; Юлия Друнина; 1975; Знаешь парень в модерных техасах
Наше нам; Юлия Друнина; 1975; Эта песенка и про меня
Наше нам; Юлия Друнина; 1975; Ты — грядущим я прошлым богата
Наше нам; Юлия Друнина; 1975; Юность — юным дружок наше — нам
Наше нам; Юлия Друнина; 1975; Сердце тянется к этим солдатам
Наше нам; Юлия Друнина; 1975; К их осколкам и к их орденам
Я и ты; Белла Ахмадулина; Год написания не известен; О уезжай Играй играй
Я и ты; Белла Ахмадулина; Год написания не известен; в отъезд Он нас не разлучает
